date,code,composite_score,rank
2026-02-12,sh.600809,1.6666656199942842,1
2026-02-12,sh.601668,1.2917623420984383,2
2026-02-12,sh.600519,1.198793175172723,3
2026-02-12,sh.601166,1.115029938481842,4
2026-02-12,sh.601601,0.8730252760219093,5
2026-02-12,sh.688012,0.862363903620497,6
2026-02-12,sh.600030,0.7591979805440598,7
2026-02-12,sh.601658,0.7543467043580676,8
2026-02-12,sh.600900,0.7411538060408284,9
2026-02-12,sh.600887,0.7395525114301429,10
