date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ
2002-04-09,sh.600036,1.88036512,1.94656256,1.88036512,1.90720192,414108831.0,69.018139,42.508441,9.673513,-22.709523,11.89005
2002-04-10,sh.600036,1.90720192,1.9143584,1.85889568,1.8964672,67945475.0,11.324246,42.269182,9.619065,-22.581702,11.823127
2002-04-11,sh.600036,1.8964672,1.91078016,1.87678688,1.88215424,22788255.0,3.798042,41.950169,9.546468,-22.411275,11.733896
2002-04-12,sh.600036,1.878576,1.90362368,1.87499776,1.89109984,21256463.0,3.542744,42.149552,9.591841,-22.517792,11.789665
2002-04-15,sh.600036,1.89109984,1.8964672,1.8517392,1.85889568,18531104.0,3.088517,41.431773,9.428499,-22.134329,11.588895
2002-04-16,sh.600036,1.8517392,1.85889568,1.81416768,1.81774592,24925491.0,4.154248,40.514612,9.219783,-21.644349,11.332355
2002-04-17,sh.600036,1.8159568,1.83563712,1.80522208,1.82848064,11459339.0,1.90989,40.753871,9.274231,-21.77217,11.399279
2002-04-18,sh.600036,1.8249024,1.8249024,1.8070112,1.81058944,8533279.0,1.422213,40.355105,9.183485,-21.559135,11.28774
2002-04-19,sh.600036,1.8070112,1.8159568,1.78733088,1.81416768,15722249.0,2.620375,40.434859,9.201634,-21.601742,11.310048
2002-04-22,sh.600036,1.8070112,1.8070112,1.78733088,1.79090912,6593827.0,1.098971,39.916463,9.083664,-21.324796,11.165047
2002-04-23,sh.600036,1.78912,1.80522208,1.77301792,1.78912,7376544.0,1.229424,39.876586,9.07459,-21.303493,11.153893
2002-04-24,sh.600036,1.78912,1.78912,1.7354464,1.74797024,17241356.0,2.873559,38.959425,8.865874,-20.813513,10.897354
2002-04-25,sh.600036,1.744392,1.7622832,1.74260288,1.75512672,9960272.0,1.660045,39.118931,8.902173,-20.898727,10.941969
2002-04-26,sh.600036,1.75691584,1.76943968,1.7533376,1.76049408,8169213.0,1.361536,39.238561,8.929396,-20.962637,10.975431
2002-04-29,sh.600036,1.76049408,1.76765056,1.73723552,1.7622832,9036087.0,1.506015,39.278438,8.938471,-20.983941,10.986585
2002-04-30,sh.600036,1.76943968,1.8159568,1.7533376,1.79269824,18262505.0,3.043751,39.95634,9.092739,-21.3461,3.683586
2002-05-08,sh.600036,1.78912,1.79448736,1.76765056,1.7712288,4228358.0,0.704726,39.477821,8.983844,-21.090458,3.639472
2002-05-09,sh.600036,1.76943968,1.80343296,1.76765056,1.77838528,4470394.0,0.745066,39.637327,9.020142,-21.175672,3.654177
2002-05-10,sh.600036,1.77301792,1.77659616,1.7533376,1.75512672,4638480.0,0.77308,39.118931,8.902173,-20.898727,3.606386
2002-05-13,sh.600036,1.7533376,1.7533376,1.71397696,1.72113344,12725497.0,2.120916,38.361276,8.729755,-20.49396,3.536537
2002-05-14,sh.600036,1.7175552,1.72471168,1.69250752,1.69608576,8239948.0,1.373325,37.803004,8.602711,-20.195711,3.48507
2002-05-15,sh.600036,1.69250752,1.7086096,1.66030336,1.66209248,9708385.0,1.618064,37.045349,8.430294,-19.790945,3.415221
2002-05-16,sh.600036,1.66030336,1.66030336,1.62273184,1.6370448,19517141.0,3.252857,36.487077,8.30325,-19.492696,3.363754
2002-05-17,sh.600036,1.64241216,1.6638816,1.6191536,1.654936,10010112.0,1.668352,36.885842,8.393996,-19.705731,3.400516
2002-05-20,sh.600036,1.63346656,1.64241216,1.59768416,1.60662976,11297072.0,1.882845,35.809175,8.148982,-19.130537,3.301258
2002-05-21,sh.600036,1.64241216,1.654936,1.61557536,1.64241216,12608352.0,2.101392,36.606706,8.330473,-19.556607,3.374783
2002-05-22,sh.600036,1.64420128,1.6459904,1.59410592,1.59947328,7338358.0,1.22306,35.649668,8.112683,-19.045323,3.286553
2002-05-23,sh.600036,1.6012624,1.63346656,1.59947328,1.60662976,7188925.0,1.198154,35.809175,8.148982,-19.130537,3.301258
2002-05-24,sh.600036,1.60662976,1.61736448,1.56726912,1.58694944,10526000.0,1.754333,35.370532,8.049161,-18.896198,3.26082
2002-05-27,sh.600036,1.59052768,1.6012624,1.57084736,1.59410592,5439444.0,0.906574,35.530038,8.085459,-18.981412,3.275524
2002-05-28,sh.600036,1.59410592,1.60841888,1.5923168,1.59589504,5607677.0,0.934613,35.569915,8.094534,-19.002716,3.279201
2002-05-29,sh.600036,1.59589504,1.59947328,1.54222144,1.55116704,7480150.0,1.246692,34.573,7.867669,-18.470128,3.187295
2002-05-30,sh.600036,1.54937792,1.57084736,1.52433024,1.56548,13179829.0,2.196638,34.892013,7.940266,-18.640556,3.216705
2002-05-31,sh.600036,1.56190176,1.58516032,1.54937792,1.5565344,4669199.0,0.7782,34.69263,7.894893,-18.534039,3.198324
2002-06-03,sh.600036,1.5565344,1.5565344,1.5565344,1.5565344,0.0,0.0,34.69263,7.894893,-18.534039,3.198324
2002-06-04,sh.600036,1.54401056,1.610208,1.52790848,1.58516032,21315760.0,3.552627,35.330656,8.040087,-18.874895,3.257143
2002-06-05,sh.600036,1.64956864,1.64956864,1.56011264,1.56369088,9149476.0,1.524913,34.852136,7.931191,-18.619253,3.213029
2002-06-06,sh.600036,1.56369088,1.62452096,1.55295616,1.610208,12530992.0,2.088499,35.888928,8.167131,-19.173144,3.308611
2002-06-07,sh.600036,1.61199712,1.62094272,1.5923168,1.60662976,11760656.0,1.960109,35.809175,8.148982,-19.130537,3.301258
2002-06-10,sh.600036,1.60662976,1.62094272,1.59768416,1.60841888,4910142.0,0.818357,35.849051,8.158056,-19.15184,3.304934
2002-06-11,sh.600036,1.60841888,1.61199712,1.59589504,1.59947328,2848153.0,0.474692,35.649668,8.112683,-19.045323,3.286553
2002-06-12,sh.600036,1.610208,1.610208,1.5744256,1.58694944,3036753.0,0.506126,35.370532,8.049161,-18.896198,3.26082
2002-06-13,sh.600036,1.58694944,1.58694944,1.56548,1.56726912,2861462.0,0.47691,34.93189,7.949341,-18.66186,3.220381
2002-06-14,sh.600036,1.56548,1.56548,1.55116704,1.55295616,2939500.0,0.489917,34.612877,7.876744,-18.491432,3.190971
2002-06-17,sh.600036,1.5475888,1.54937792,1.53506496,1.54937792,3036771.0,0.506128,34.533124,7.858595,-18.448825,3.183619
2002-06-18,sh.600036,1.54937792,1.5833712,1.5475888,1.57621472,5317574.0,0.886262,35.131273,7.994714,-18.768377,3.238762
2002-06-19,sh.600036,1.57621472,1.57800384,1.5475888,1.55295616,2774519.0,0.46242,34.612877,7.876744,-18.491432,3.190971
2002-06-20,sh.600036,1.55295616,1.57979296,1.55116704,1.56190176,4108300.0,0.684717,34.81226,7.922117,-18.597949,3.209352
2002-06-21,sh.600036,1.56548,1.62631008,1.56011264,1.60484064,14947363.0,2.491227,35.769298,8.139907,-19.109233,3.297582
2002-06-24,sh.600036,1.76586144,1.76586144,1.70145312,1.76586144,95065027.0,15.844171,39.358191,8.95662,-21.026548,3.628443
2002-06-25,sh.600036,1.78733088,1.9411952,1.75512672,1.8696304,149514953.0,24.919159,41.671033,9.482946,-22.26215,3.841665
2002-06-26,sh.600036,1.8517392,1.8964672,1.8159568,1.83026976,41963672.0,6.993945,40.793748,9.283305,-21.793473,3.760787
2002-06-27,sh.600036,1.83026976,1.8964672,1.82132416,1.878576,41442717.0,6.90712,41.870416,9.528319,-22.368668,3.860046
2002-06-28,sh.600036,1.88036512,2.0664336,1.88036512,2.0664336,156015369.0,26.002561,46.057457,10.481151,-24.605534,4.24605
2002-07-01,sh.600036,2.0932704,2.11831808,2.0395968,2.07180096,90583632.0,15.097272,46.177087,10.508375,-24.669445,4.257079
2002-07-02,sh.600036,2.0664336,2.06822272,2.00023616,2.04675328,37955268.0,6.325878,45.618815,10.381331,-24.371196,4.205612
2002-07-03,sh.600036,2.0395968,2.09148128,2.02349472,2.05212064,25683720.0,4.28062,45.738445,10.408554,-24.435106,4.21664
2002-07-04,sh.600036,2.057488,2.07180096,1.95729728,1.98771232,41951694.0,6.991949,44.302887,10.081869,-23.668181,4.084296
2002-07-05,sh.600036,1.968032,2.02886208,1.95371904,2.0217056,33747227.0,5.624538,45.060543,10.254286,-24.072947,4.154144
2002-07-08,sh.600036,2.00202528,2.0932704,2.00202528,2.02886208,41931594.0,6.988599,45.220049,10.290585,-24.158161,4.168849
2002-07-09,sh.600036,2.0306512,2.09863776,2.0306512,2.0843248,53912874.0,8.985479,46.456223,10.571897,-24.818569,4.282813
2002-07-10,sh.600036,2.0843248,2.13263104,2.01991648,2.02349472,103668559.0,15.859818,45.100419,10.263361,-24.09425,4.157821
2002-07-11,sh.600036,2.00739264,2.0395968,1.9948688,2.00202528,31305363.0,4.789276,44.6219,10.154466,-23.838609,4.113706
2002-07-12,sh.600036,2.00202528,2.01276,1.96445376,1.97339936,32493660.0,4.971069,43.983875,10.009273,-23.497753,4.054886
2002-07-15,sh.600036,1.968032,1.9769776,1.923304,1.93940608,23448328.0,3.587261,43.22622,9.836855,-23.092986,3.985038
2002-07-16,sh.600036,1.94477344,1.9769776,1.93046048,1.94298432,18594602.0,2.84471,43.305973,9.855004,-23.135593,3.99239
2002-07-17,sh.600036,1.94656256,1.97518848,1.93046048,1.97339936,8479998.0,1.297319,43.983875,10.009273,-23.497753,4.054886
2002-07-18,sh.600036,1.98413408,2.00739264,1.96445376,1.9859232,20092068.0,3.073801,44.263011,10.072795,-23.646877,4.08062
2002-07-19,sh.600036,1.9948688,2.00202528,1.968032,1.99307968,9684195.0,1.481544,44.422517,10.109093,-23.732091,4.095325
2002-07-22,sh.600036,1.99665792,1.99665792,1.90720192,1.91256928,21510542.0,3.290808,42.628071,9.700736,-22.773434,3.929894
2002-07-23,sh.600036,1.9054128,1.97518848,1.89825632,1.93046048,18666749.0,2.855748,43.026837,9.791482,-22.986469,3.966656
2002-07-24,sh.600036,1.923304,1.95550816,1.91256928,1.92867136,8015858.0,1.226313,42.98696,9.782408,-22.965165,3.96298
2002-07-25,sh.600036,1.923304,1.9411952,1.89467808,1.90720192,10470632.0,1.601858,42.508441,9.673513,-22.709523,3.918865
2002-07-26,sh.600036,1.91078016,1.92151488,1.8964672,1.90004544,7678834.0,1.174753,42.348935,9.637214,-22.624309,3.904161
2002-07-29,sh.600036,1.8964672,1.9143584,1.878576,1.91256928,8736892.0,1.33662,42.628071,9.700736,-22.773434,3.929894
2002-07-30,sh.600036,1.923304,1.9948688,1.91256928,1.9590864,33096969.0,5.063367,43.664862,9.936676,-23.327325,4.025476
2002-07-31,sh.600036,1.94835168,1.9769776,1.9054128,1.9143584,14637918.0,2.239394,42.667947,9.709811,-22.794737,3.93357
2002-08-01,sh.600036,1.91256928,1.93403872,1.89467808,1.91972576,6501091.0,0.994575,42.787577,9.737035,-22.858648,3.944599
2002-08-02,sh.600036,1.92509312,1.9322496,1.9054128,1.91972576,3755525.0,0.574542,42.787577,9.737035,-22.858648,3.944599
2002-08-05,sh.600036,1.91972576,1.91972576,1.88036512,1.88215424,5849596.0,0.894905,41.950169,9.546468,-22.411275,3.867398
2002-08-06,sh.600036,1.878576,1.93761696,1.85352832,1.88931072,13136811.0,2.009746,42.109675,9.582767,-22.496489,3.882103
2002-08-07,sh.600036,1.88931072,1.91256928,1.88215424,1.8964672,8028176.0,1.228197,42.269182,9.619065,-22.581702,3.896808
2002-08-08,sh.600036,1.9054128,1.9411952,1.90004544,1.9054128,14410144.0,2.204548,42.468564,9.664438,-22.68822,3.915189
2002-08-09,sh.600036,1.8964672,1.90720192,1.88394336,1.88394336,10941629.0,1.673914,41.990045,9.555543,-22.432578,3.871074
2002-08-12,sh.600036,1.84637184,1.86784128,1.83205888,1.84995008,60520478.0,7.685663,41.23239,9.383126,-22.027812,3.801226
