date,code,open,high,low,close,volume
2025-01-02,sh.000300,3931.8155,3934.2034,3796.3389,3820.3952,21789872400.0
2025-01-03,sh.000300,3825.2426,3835.9353,3767.6653,3775.1648,17534267600.0
2025-01-06,sh.000300,3775.9902,3788.8489,3743.0727,3768.9697,15094667000.0
2025-01-07,sh.000300,3760.866,3797.602,3749.0581,3796.1055,14645577900.0
2025-01-08,sh.000300,3781.261,3810.7355,3731.1887,3789.2153,16916696800.0
2025-01-09,sh.000300,3780.7341,3795.2608,3768.681,3779.8773,12979400200.0
2025-01-10,sh.000300,3778.8928,3786.8069,3732.4806,3732.4806,13752317100.0
2025-01-13,sh.000300,3704.4442,3737.8852,3704.1073,3722.513,13644619900.0
2025-01-14,sh.000300,3728.5561,3826.6399,3718.8768,3820.5395,17066465700.0
2025-01-15,sh.000300,3810.0353,3816.8284,3790.1655,3796.026,14147552000.0
2025-01-16,sh.000300,3812.1935,3842.947,3776.2861,3800.3836,14450587100.0
2025-01-17,sh.000300,3788.3729,3831.6404,3780.2133,3812.3429,12662196100.0
2025-01-20,sh.000300,3835.3042,3858.6677,3821.9815,3829.6764,13958127700.0
2025-01-21,sh.000300,3850.3563,3850.9106,3817.1214,3832.6145,14121840600.0
2025-01-22,sh.000300,3823.9447,3823.9447,3783.1438,3797.0166,13725506200.0
2025-01-23,sh.000300,3829.0462,3864.2585,3801.8531,3803.7439,18056955100.0
2025-01-24,sh.000300,3793.8498,3847.6003,3793.4836,3832.8637,14897172200.0
2025-01-27,sh.000300,3836.9578,3851.9969,3817.0802,3817.0802,14667077200.0
2025-02-05,sh.000300,3844.6998,3844.6998,3785.162,3795.0848,15716830800.0
2025-02-06,sh.000300,3789.6086,3843.4942,3788.3196,3842.8314,16728817600.0
2025-02-07,sh.000300,3844.0574,3919.3499,3833.8685,3892.7028,22185770700.0
2025-02-10,sh.000300,3898.1023,3906.3678,3878.8314,3901.0618,18890304000.0
2025-02-11,sh.000300,3905.1594,3905.1594,3872.9087,3883.1352,16657490900.0
2025-02-12,sh.000300,3875.9596,3920.7229,3867.3538,3919.8617,16422854000.0
2025-02-13,sh.000300,3913.9044,3939.1978,3904.9845,3905.1398,17248587400.0
2025-02-14,sh.000300,3900.8274,3942.0356,3900.8274,3939.0085,17297645200.0
2025-02-17,sh.000300,3954.4147,3955.8959,3921.7017,3947.3983,21358824600.0
