date,code,open,high,low,close,volume
2025-01-02,sh.000852,5948.6802,5982.5535,5743.1785,5797.089,24412560600.0
2025-01-03,sh.000852,5808.5424,5826.0833,5609.7663,5625.209,23709321100.0
2025-01-06,sh.000852,5614.0281,5688.9223,5561.898,5608.0344,20304767600.0
2025-01-07,sh.000852,5610.9462,5694.0046,5580.8851,5692.041,19391245000.0
2025-01-08,sh.000852,5664.3121,5706.6593,5501.4918,5661.7793,22580083000.0
2025-01-09,sh.000852,5629.8952,5714.4606,5629.8239,5672.7796,19332042100.0
2025-01-10,sh.000852,5662.7667,5718.2122,5544.9158,5544.9158,19801487700.0
2025-01-13,sh.000852,5487.1249,5599.3268,5457.5095,5559.4725,16930919000.0
2025-01-14,sh.000852,5580.8778,5814.7071,5562.1801,5811.0545,23577286900.0
2025-01-15,sh.000852,5805.898,5815.1483,5755.6247,5775.5709,20429032500.0
2025-01-16,sh.000852,5810.0511,5906.4655,5753.764,5801.3051,21637323900.0
2025-01-17,sh.000852,5780.6056,5885.4165,5755.9071,5841.5718,19681796700.0
2025-01-20,sh.000852,5877.972,5925.0719,5856.8325,5879.1495,19843078300.0
2025-01-21,sh.000852,5911.4048,5917.1293,5834.9644,5908.0234,19912783400.0
2025-01-22,sh.000852,5879.8433,5886.7418,5824.0345,5855.7393,18029676000.0
2025-01-23,sh.000852,5911.2189,5991.845,5829.0329,5829.0329,22285575300.0
2025-01-24,sh.000852,5815.4583,5943.1118,5815.4583,5938.1301,20809044500.0
2025-01-27,sh.000852,5946.7291,5964.1497,5846.0686,5846.0686,18864620000.0
2025-02-05,sh.000852,5900.5128,5928.8797,5851.5951,5881.4366,21200531000.0
2025-02-06,sh.000852,5869.7051,6042.0194,5853.7462,6041.8337,25599851100.0
2025-02-07,sh.000852,6046.3647,6198.7478,6042.2605,6134.0545,32395283500.0
2025-02-10,sh.000852,6155.0511,6218.066,6126.0819,6210.5471,29782593200.0
2025-02-11,sh.000852,6209.5207,6220.964,6135.8659,6190.1739,28827157600.0
2025-02-12,sh.000852,6172.3935,6284.9184,6171.0611,6284.6107,28134276500.0
2025-02-13,sh.000852,6290.7898,6290.7898,6202.5929,6212.4968,31298493500.0
2025-02-14,sh.000852,6203.4767,6257.3064,6182.2637,6248.8345,29800584900.0
2025-02-17,sh.000852,6285.0404,6308.4839,6231.8675,6281.5658,32373433700.0
2025-02-18,sh.000852,6264.282,6282.4039,6112.5851,6142.138,30015933000.0
2025-02-19,sh.000852,6134.9912,6290.0127,6133.9423,6288.529,27292011400.0
2025-02-20,sh.000852,6289.1329,6349.4737,6274.0309,6334.4143,28811019800.0
2025-02-21,sh.000852,6347.67,6456.9191,6317.0853,6449.2279,32726377100.0
2025-02-24,sh.000852,6454.5582,6504.4001,6411.7662,6464.0235,31846116100.0
