date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ
2019-04-19,sz.300770,18.7010166,22.44121992,18.7010166,22.44121992,24418.0,0.076069,32.579508,10.394365,71.750645,9.396244
2019-04-22,sz.300770,24.68620371,24.68620371,24.68620371,24.68620371,12207.0,0.038028,35.83871,11.434201,78.928465,10.336229
2019-04-23,sz.300770,27.15525498,27.15525498,27.15525498,27.15525498,19035.0,0.059299,39.423206,12.57782,86.822689,11.370032
2019-04-24,sz.300770,29.86991868,29.86991868,29.86991868,29.86991868,24496.0,0.076312,43.364276,13.835203,95.502202,12.506675
2019-04-25,sz.300770,32.85604875,32.85604875,32.85604875,32.85604875,137911.0,0.429629,47.699452,15.218325,105.049667,13.756981
2019-04-26,sz.300770,35.333718,35.333718,29.68032312,29.69755908,14330104.0,44.642069,43.114049,13.75537,94.951122,12.434507
2019-04-29,sz.300770,29.301132,31.16692467,28.870233,29.89577262,8614318.0,26.835882,37.093114,12.707823,58.782272,11.346241
2019-04-30,sz.300770,30.593829,31.8003462,30.23618283,31.21863255,6917936.0,21.551202,38.734449,13.270133,61.383332,11.848301
2019-05-06,sz.300770,30.15862101,31.35652023,29.02966563,30.66708183,7378905.0,22.987243,38.050114,13.035685,60.298851,11.638973
2019-05-07,sz.300770,30.593829,30.79204254,29.13308139,30.2060199,5200877.0,16.202109,37.478053,12.839701,59.392292,11.463988
2019-05-08,sz.300770,29.4734916,33.22662189,29.32267695,33.22662189,9675843.0,30.142813,41.225858,14.123671,65.331521,12.610387
2019-05-09,sz.300770,34.46761101,36.4109655,33.8686614,34.77785829,9814084.0,30.57347,43.150551,14.783056,68.381625,13.199122
2019-05-10,sz.300770,37.34601633,37.99667382,35.98437549,37.26414552,8417296.0,26.222106,46.235406,15.839905,73.270263,14.142734
2019-05-13,sz.300770,36.195516,38.70765717,35.333718,37.4451231,6285044.0,19.579576,46.459954,15.916833,73.626108,14.21142
2019-05-14,sz.300770,37.07885895,37.36756128,35.88526872,36.8418645,4157936.0,12.953072,45.711462,15.660405,72.439957,13.982467
2019-05-15,sz.300770,37.3589433,37.69073553,35.764617,36.9711342,5215553.0,16.247829,45.871853,15.715354,72.694132,14.031529
2019-05-16,sz.300770,36.63072399,36.76430268,35.57071245,35.95852155,3510395.0,10.93581,44.615456,15.284922,70.703093,13.647215
2019-05-17,sz.300770,35.85510579,36.94097127,35.5922574,35.7215271,3535407.0,11.013729,44.321406,15.184182,70.237105,13.55727
