date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ
2011-10-28,sh.601100,6.440299,6.7483133,6.2162886,6.65870914,66347839.0,78.985523,28.637965,8.533369,-168.463808,13.077792
2011-10-31,sh.601100,6.93032175,7.09832955,6.75111343,6.88551967,34531918.0,41.109426,29.613438,8.824034,-174.202062,13.523251
2011-11-01,sh.601100,6.98632435,7.15433215,6.86311863,6.94992266,26333826.0,31.349793,29.890425,8.906569,-175.831443,13.649739
2011-11-02,sh.601100,6.8323172,7.23553592,6.77071434,7.1963341,22286307.0,26.531318,30.950198,9.222354,-182.065595,14.133695
2011-11-03,sh.601100,7.0563276,7.15433215,6.75391356,6.80991616,28360661.0,33.762692,29.288281,8.727146,-172.289311,13.374765
2011-11-04,sh.601100,6.9443224,7.0563276,6.8323172,6.89672019,18550764.0,22.084243,29.66161,8.838388,-174.485432,13.545249
2011-11-07,sh.601100,6.8043159,6.82951707,6.56630485,6.57750537,15055149.0,17.922796,28.288722,8.429303,-166.409371,12.918307
2011-11-08,sh.601100,6.5523042,6.74271304,6.54110368,6.68951057,10603255.0,12.622923,28.770437,8.572842,-169.243077,13.138287
2011-11-09,sh.601100,6.6923107,6.73431265,6.5803055,6.71471174,7839781.0,9.333073,28.878823,8.605138,-169.880661,13.187782
2011-11-10,sh.601100,6.6363081,6.78751512,6.56910498,6.59150602,8099292.0,9.642014,28.348936,8.447245,-166.763584,12.945804
2011-11-11,sh.601100,6.53830355,6.60270654,6.35069484,6.43189861,11876301.0,14.138454,27.662492,8.242703,-162.725554,12.632333
2011-11-14,sh.601100,6.4683003,6.58870589,6.42069809,6.54110368,9422592.0,11.217371,28.132164,8.382653,-165.488417,12.846813
2011-11-15,sh.601100,6.50470199,6.57470524,6.44869939,6.53830355,6489412.0,7.72549,28.120121,8.379065,-165.417574,12.841314
2011-11-16,sh.601100,6.53270329,6.66150927,6.40949757,6.44589926,7996344.0,9.519457,27.722706,8.260645,-163.079767,12.659831
2011-11-17,sh.601100,6.42909848,6.57470524,6.42909848,6.47670069,4434115.0,5.278708,27.855178,8.300118,-163.859036,12.720325
2011-11-18,sh.601100,6.43749887,6.47670069,6.16308613,6.17428665,7924121.0,9.433477,26.554547,7.912564,-156.20803,12.12638
2011-11-21,sh.601100,6.17428665,6.26669094,6.08188236,6.24709003,4464663.0,5.315075,26.867662,8.005864,-158.049939,12.269367
2011-11-22,sh.601100,6.16308613,6.21068834,5.9922782,6.1322847,4275566.0,5.08996,26.373904,7.858737,-155.145391,12.043888
2011-11-23,sh.601100,6.15188561,6.2162886,6.06228145,6.09308288,3115460.0,3.708881,26.205304,7.808499,-154.153594,11.966895
2011-11-24,sh.601100,6.01467924,6.10708353,5.9642769,6.01187911,3647137.0,4.34183,25.85606,7.704433,-152.099157,11.807409
2011-11-25,sh.601100,6.01747937,6.12948457,5.99507833,6.05668119,3692473.0,4.395801,26.048746,7.761849,-153.232639,11.895401
