date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ
2000-01-04,sh.600151,3.57207253,3.70521084,3.52674885,3.66838535,430266.0,0.635501,34.111169,5.101612,10.387867,4.344908
2000-01-05,sh.600151,3.66838535,3.7958582,3.5975671,3.66555262,791920.0,1.169663,34.084828,5.097673,10.379845,4.341553
2000-01-06,sh.600151,3.59190164,3.80152366,3.59190164,3.78736001,706825.0,1.043978,35.217477,5.26707,10.724771,4.485824
2000-01-07,sh.600151,3.81852004,3.96015654,3.81852004,3.94032743,1583395.0,2.338668,36.639873,5.479801,11.157933,4.667002
2000-01-10,sh.600151,3.965822,4.0508039,3.86667645,3.99981476,1542376.0,2.278083,37.193027,5.56253,11.326385,4.73746
2000-01-11,sh.600151,3.99981476,3.99981476,3.7392036,3.76469817,956180.0,1.412274,35.006752,5.235554,10.660599,4.458983
2000-01-12,sh.600151,3.7108763,3.7958582,3.56640707,3.61173075,767833.0,1.134086,33.584355,5.022823,10.227437,4.277805
2000-01-13,sh.600151,3.61173075,3.64572351,3.55507615,3.58340345,414277.0,0.611885,33.320949,4.983428,10.147221,4.244254
2000-01-14,sh.600151,3.6258944,3.64005805,3.5692398,3.60889802,301791.0,0.445744,33.558015,5.018883,10.219415,4.27445
2000-01-17,sh.600151,3.682549,3.8808401,3.67971627,3.79869093,636000.0,0.939369,35.32284,5.282828,10.756857,4.499245
2000-01-18,sh.600151,3.8241855,3.86101099,3.68538173,3.71654176,409307.0,0.604545,34.55896,5.168583,10.524233,4.401945
2000-01-19,sh.600151,3.73353814,3.965822,3.73070541,3.95165835,1125887.0,1.66293,36.745236,5.495559,11.190019,4.680422
2000-01-20,sh.600151,3.96015654,4.0224766,3.90066921,3.99131657,1180379.0,1.743415,37.114005,5.550712,11.30232,4.727394
2000-01-21,sh.600151,3.99131657,4.01964387,3.90350194,3.90350194,1155470.0,1.706624,36.297444,5.428588,11.053653,4.623385
2000-01-24,sh.600151,3.84684734,3.8808401,3.7392036,3.80152366,1292301.0,1.908723,35.34918,5.286767,10.764878,4.5026
2000-01-25,sh.600151,3.8241855,4.00548022,3.81852004,3.87234191,1119519.0,1.653525,36.007697,5.385254,10.965416,4.586478
2000-01-26,sh.600151,3.89500375,3.97148746,3.83834915,3.965822,891812.0,1.317203,36.876939,5.515256,11.230126,4.697198
2000-01-27,sh.600151,4.1074585,4.249095,4.07346574,4.12162215,2216467.0,3.273712,38.325676,5.731927,11.67131,4.881731
2000-01-28,sh.600151,4.18394221,4.3907315,4.18110948,4.25476046,2958738.0,4.370044,39.563688,5.917082,12.048321,5.039422
2000-02-14,sh.600151,4.42189153,4.67117177,4.39639696,4.66833904,2864730.0,4.231194,43.409426,6.492245,13.219463,5.529273
2000-02-15,sh.600151,4.7589864,4.9856048,4.4757134,4.51820435,4360900.0,6.441031,42.01337,6.283453,12.794323,5.35145
2000-02-16,sh.600151,4.5040407,4.62584809,4.43322245,4.52670254,2892232.0,4.271814,42.092392,6.295271,12.818387,5.361516
2000-02-17,sh.600151,4.5890226,4.7873137,4.08196393,4.12162215,3431791.0,5.068741,38.325676,5.731927,11.67131,4.881731
2000-02-18,sh.600151,4.0791312,4.26325865,4.05363663,4.26325865,1581404.0,2.335727,39.64271,5.928901,12.072386,5.049488
2000-02-21,sh.600151,4.2774223,4.5040407,4.1924404,4.41339334,2578018.0,3.807722,41.038765,6.137692,12.497526,5.22731
2000-02-22,sh.600151,4.44455337,4.4757134,4.1357858,4.14994945,1993975.0,2.945093,38.589083,5.771322,11.751525,4.915282
2000-02-23,sh.600151,4.16128037,4.2774223,4.14145126,4.22643316,1686299.0,2.490657,39.300281,5.877687,11.968106,5.005871
2000-02-24,sh.600151,4.3057496,4.3340769,4.23493135,4.32274598,909685.0,1.343601,40.195864,6.011629,12.240838,5.119946
2000-02-25,sh.600151,4.3624042,4.6456772,4.35957147,4.47004794,3354571.0,4.954687,41.565579,6.216482,12.657957,5.294413
2000-02-28,sh.600151,4.532368,4.60318625,4.50687343,4.5606953,3187378.0,4.707744,42.40848,6.342545,12.914645,5.401778
2000-02-29,sh.600151,4.64001174,4.65134266,4.41339334,4.48987705,2413464.0,3.564676,41.749963,6.244058,12.714107,5.317899
2000-03-01,sh.600151,4.5040407,4.532368,4.3340769,4.3624042,1643430.0,2.427339,40.564633,6.066782,12.353139,5.166918
2000-03-02,sh.600151,4.3624042,4.52670254,4.35673874,4.3907315,1491098.0,2.202345,40.82804,6.106177,12.433354,5.200469
2000-03-03,sh.600151,4.4190588,4.52670254,4.33124417,4.3340769,2366200.0,3.494867,40.301226,6.027387,12.272924,5.133366
2000-03-06,sh.600151,4.38506604,4.41339334,4.14994945,4.1641131,2136280.0,3.155277,38.720786,5.791019,11.791633,4.932058
2000-03-07,sh.600151,4.14428399,4.23209862,4.0791312,4.23209862,843491.0,1.245833,39.352962,5.885566,11.984149,5.012581
2000-03-08,sh.600151,4.249095,4.27458957,4.1924404,4.24342954,689439.0,1.018299,39.458325,5.901324,12.016235,5.026002
2000-03-09,sh.600151,4.249095,4.3907315,4.249095,4.29158595,866016.0,1.279102,39.906116,5.968295,12.152601,5.083039
2000-03-10,sh.600151,4.29158595,4.3057496,4.1357858,4.15278218,784983.0,1.159417,38.615424,5.775261,11.759547,4.918637
2000-03-13,sh.600151,4.15278218,4.2207677,4.13861853,4.18394221,545919.0,0.80632,38.905171,5.818595,11.847783,4.955544
2000-03-14,sh.600151,4.18394221,4.38506604,4.12445488,4.34824055,1616462.0,2.387508,40.43293,6.047085,12.313031,5.150142
2000-03-15,sh.600151,4.3907315,4.61168444,4.35107328,4.52386981,4377128.0,6.465,42.066051,6.291332,12.810366,5.358161
2000-03-16,sh.600151,4.5606953,4.58335714,4.1924404,4.249095,2477264.0,3.658909,39.511006,5.909203,12.032278,5.032712
2000-03-17,sh.600151,4.249095,4.43322245,4.249095,4.40489515,1420046.0,2.097402,40.959743,6.125874,12.473462,5.217245
2000-03-20,sh.600151,4.43322245,4.69666634,4.4190588,4.62584809,4409701.0,6.51311,43.014316,6.433153,13.09914,5.478946
2000-03-21,sh.600151,4.62584809,4.63151355,4.51253889,4.59752079,1894485.0,2.798146,42.750909,6.393758,13.018925,5.445394
2000-03-22,sh.600151,4.59752079,4.6173499,4.48137886,4.532368,1990569.0,2.940062,42.145073,6.30315,12.83443,5.368226
2000-03-23,sh.600151,4.53520073,4.60601898,4.47004794,4.57769168,1574082.0,2.324912,42.566524,6.366182,12.962774,5.421908
2000-03-24,sh.600151,4.6173499,4.78448097,4.54653165,4.5606953,3943662.0,5.824772,42.40848,6.342545,12.914645,5.401778
2000-03-27,sh.600151,4.69666634,4.90628836,4.67966996,4.82130646,3860198.0,5.701496,44.831822,6.704976,13.652625,5.710451
2000-03-28,sh.600151,4.9006229,4.91478655,4.66833904,4.72782637,2332968.0,3.445784,43.96258,6.574973,13.387915,5.599731
2000-03-29,sh.600151,4.7306591,4.78164824,4.5606953,4.64850993,1832097.0,2.706,43.225041,6.464668,13.163312,5.505787
2000-03-30,sh.600151,4.64850993,4.78164824,4.61168444,4.7306591,1453109.0,2.146236,39.329787,5.536752,-32.469218,5.89886
2000-03-31,sh.600151,4.7023318,4.71649545,4.54086619,4.56636076,2100666.0,3.102675,37.963842,5.344458,-31.341545,5.69399
2000-04-03,sh.600151,4.56636076,4.61168444,4.532368,4.532368,1524500.0,2.25168,37.681233,5.304673,-31.108233,5.651603
2000-04-04,sh.600151,4.52670254,4.52670254,4.43038972,4.43322245,1299356.0,1.919143,36.856956,5.188633,-30.427741,5.527974
2000-04-05,sh.600151,4.43038972,4.50970616,4.4190588,4.48987705,791892.0,1.169621,37.327971,5.254942,-30.816594,5.598619
2000-04-06,sh.600151,4.5040407,4.60885171,4.4757134,4.5890226,870149.0,1.285206,38.152248,5.370981,-31.497086,5.722248
2000-04-07,sh.600151,4.61451717,4.62018263,4.49837524,4.52386981,899288.0,1.328245,37.61058,5.294727,-31.049905,5.641006
2000-04-10,sh.600151,4.52670254,4.5606953,4.50687343,4.532368,835175.0,1.23355,37.681233,5.304673,-31.108233,5.651603
2000-04-11,sh.600151,4.532368,4.66833904,4.532368,4.6456772,1035964.0,1.530114,38.623263,5.43729,-31.885939,5.792893
2000-04-12,sh.600151,4.67117177,4.6740045,4.5040407,4.51820435,772897.0,1.141566,37.563479,5.288096,-31.01102,5.633941
2000-04-13,sh.600151,4.532368,4.5890226,4.52103708,4.54653165,612617.0,0.904833,37.798986,5.32125,-31.205446,5.669264
2000-04-14,sh.600151,4.54936438,4.60318625,4.48137886,4.49270978,820040.0,1.211196,37.351522,5.258257,-30.836036,5.602151
2000-04-17,sh.600151,4.49270978,4.49270978,4.35390601,4.38789877,1332849.0,1.968612,36.480143,5.135587,-30.116658,5.471458
2000-04-18,sh.600151,4.41339334,4.51820435,4.39639696,4.5040407,651899.0,0.962852,37.445725,5.271519,-30.913807,5.61628
2000-04-19,sh.600151,4.52386981,4.68816815,4.50120797,4.6740045,2349374.0,3.470016,38.858771,5.470444,-32.080365,5.828215
2000-04-20,sh.600151,4.6740045,4.83830284,4.6173499,4.75615367,4851996.0,7.166378,39.541743,5.566591,-32.644202,5.930651
2000-04-21,sh.600151,4.77881551,4.8439683,4.68816815,4.77315005,2745302.0,4.054799,39.683048,5.586484,-32.760858,5.951844
2000-04-24,sh.600151,4.80997554,4.91478655,4.7589864,4.7589864,2222983.0,3.283337,39.565294,5.569907,-32.663645,5.934183
2000-04-25,sh.600151,4.78448097,4.78448097,4.6740045,4.71649545,1263170.0,1.865697,39.212033,5.520175,-32.372005,5.881199
2000-04-26,sh.600151,4.71649545,4.82980465,4.7023318,4.74199002,1085090.0,1.602673,39.42399,5.550014,-32.546989,5.912989
