date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ
2000-01-04,sh.600266,2.29422375,2.34724581,2.243241,2.3452065,380178.0,0.380178,30.71403,0.940722,5.0577,3.047447
2000-01-05,sh.600266,2.33500995,2.3655996,2.2840272,2.32073478,1053392.0,1.053392,30.393536,0.930905,5.004924,3.015647
2000-01-06,sh.600266,2.32073478,2.42066097,2.2840272,2.4063858,831959.0,0.831959,31.515265,0.965262,5.18964,3.126945
2000-01-07,sh.600266,2.42270028,2.51854785,2.42270028,2.47776165,1525071.0,1.525071,32.45004,0.993893,5.34357,3.219694
2000-01-10,sh.600266,2.50427268,2.57972715,2.4675651,2.55729474,2445373.0,2.445373,33.491647,1.025796,5.515092,3.323042
2000-01-11,sh.600266,2.5695306,2.57972715,2.39007132,2.40842511,1155180.0,1.15518,31.541973,0.96608,5.194038,3.129595
2000-01-12,sh.600266,2.40434649,2.4267789,2.3248134,2.33500995,682598.0,0.682598,30.580491,0.936632,5.03571,3.034197
2000-01-13,sh.600266,2.3248134,2.34316719,2.3044203,2.31461685,339833.0,0.339833,30.313412,0.928451,4.99173,3.007698
2000-01-14,sh.600266,2.31461685,2.33500995,2.23916238,2.29422375,780565.0,0.780565,30.046334,0.920271,4.94775,2.981198
2000-01-17,sh.600266,2.243241,2.3044203,2.243241,2.29830237,404571.0,0.404571,30.099749,0.921907,4.956546,2.986498
2000-01-18,sh.600266,2.31461685,2.3248134,2.24935893,2.26771272,466388.0,0.466388,29.699132,0.909637,4.890576,2.946749
2000-01-19,sh.600266,2.2636341,2.30034168,2.243241,2.29626306,625756.0,0.625756,30.073041,0.921089,4.952148,2.983848
2000-01-20,sh.600266,2.30034168,2.3044203,2.26159479,2.29626306,822797.0,0.822797,30.073041,0.921089,4.952148,2.983848
2000-01-21,sh.600266,2.29422375,2.33704926,2.2636341,2.31461685,1139233.0,1.139233,30.313412,0.928451,4.99173,3.007698
2000-01-24,sh.600266,2.2840272,2.32073478,2.243241,2.32073478,1322834.0,1.322834,30.393536,0.930905,5.004924,3.015647
2000-01-25,sh.600266,2.3248134,2.40026787,2.3248134,2.37783546,1306022.0,1.306022,31.141356,0.95381,5.128068,3.089846
2000-01-26,sh.600266,2.4063858,2.56545198,2.40230718,2.49611544,3100975.0,3.100975,32.690411,1.001255,5.383152,3.243543
2000-01-27,sh.600266,2.4879582,2.4879582,2.4267789,2.4675651,1660000.0,1.66,32.316501,0.989803,5.32158,3.206444
2000-01-28,sh.600266,2.48184027,2.49815475,2.41658235,2.447172,1799664.0,1.799664,32.049422,0.981623,5.2776,3.179944
2000-02-14,sh.600266,2.5491375,2.6918892,2.4675651,2.68984989,4099224.0,4.099224,35.227657,1.078967,5.800962,3.495289
2000-02-15,sh.600266,2.6918892,2.72247885,2.5083513,2.54301957,4091265.0,4.091265,33.304692,1.02007,5.484306,3.304492
2000-02-16,sh.600266,2.53486233,2.53894095,2.41250373,2.4675651,3142342.0,3.142342,32.316501,0.989803,5.32158,3.206444
2000-02-17,sh.600266,2.46960441,2.5491375,2.3655996,2.39618925,4180163.0,4.180163,31.381726,0.961172,5.16765,3.113696
2000-02-18,sh.600266,2.39618925,2.5083513,2.3655996,2.40230718,2038027.0,2.038027,31.46185,0.963626,5.180844,3.121646
2000-02-21,sh.600266,2.447172,2.63886714,2.40230718,2.60419887,5036007.0,5.036007,34.105927,1.04461,5.616246,3.383991
2000-02-22,sh.600266,2.7122823,2.72247885,2.447172,2.45940786,3139346.0,3.139346,32.20967,0.986531,5.303988,3.195844
2000-02-23,sh.600266,2.447172,2.45532924,2.39618925,2.40026787,1577806.0,1.577806,31.435142,0.962808,5.176446,3.118996
2000-02-24,sh.600266,2.40230718,2.4675651,2.40230718,2.45736855,925212.0,0.925212,32.182962,0.985713,5.29959,3.193194
2000-02-25,sh.600266,2.48591889,2.48591889,2.3655996,2.4267789,2186046.0,2.186046,31.782344,0.973442,5.23362,3.153445
2000-02-28,sh.600266,2.4267789,2.5491375,2.3859927,2.51854785,2763876.0,2.763876,32.984197,1.010253,5.43153,3.272693
2000-02-29,sh.600266,2.60012025,2.77142229,2.5899237,2.77142229,16952233.0,16.952233,36.295971,1.111688,5.976882,3.601287
2000-03-01,sh.600266,2.82444435,2.85299469,2.651103,2.69392851,10139969.0,10.139969,35.281073,1.080603,5.809758,3.500589
2000-03-02,sh.600266,2.69392851,2.82852297,2.64090645,2.70412506,4891378.0,4.891378,35.414612,1.084693,5.831748,3.513839
2000-03-03,sh.600266,2.73471471,2.8142478,2.70412506,2.77754022,4400351.0,4.400351,36.376095,1.114142,5.990076,3.609237
2000-03-06,sh.600266,2.83260159,2.84279814,2.5695306,2.58584508,3850921.0,3.850921,33.865556,1.037248,5.576664,3.360141
2000-03-07,sh.600266,2.5491375,2.61235611,2.52466578,2.60012025,1733862.0,1.733862,34.052511,1.042974,5.60745,3.378691
2000-03-08,sh.600266,2.60827749,2.63682783,2.5491375,2.63682783,1463397.0,1.463397,34.533253,1.057698,5.686614,3.42639
2000-03-09,sh.600266,2.62051335,2.651103,2.5491375,2.6103168,1475649.0,1.475649,34.186051,1.047064,5.62944,3.391941
2000-03-10,sh.600266,2.57156991,2.5899237,2.5083513,2.53078371,1643215.0,1.643215,33.144444,1.015161,5.457918,3.288593
2000-03-13,sh.600266,2.5083513,2.59808094,2.50223337,2.55729474,832265.0,0.832265,33.491647,1.025796,5.515092,3.323042
2000-03-14,sh.600266,2.5083513,2.53282302,2.4267789,2.50019406,1448910.0,1.44891,32.743827,1.002891,5.391948,3.248843
2000-03-15,sh.600266,2.49815475,2.60215956,2.47776165,2.58788439,1335293.0,1.335293,33.892264,1.038066,5.581062,3.362791
2000-03-16,sh.600266,2.5491375,2.5491375,2.42270028,2.45532924,1819949.0,1.819949,32.156254,0.984895,5.295192,3.190544
2000-03-17,sh.600266,2.4267789,2.52466578,2.42270028,2.50019406,1193583.0,1.193583,32.743827,1.002891,5.391948,3.248843
2000-03-20,sh.600266,2.47368303,2.55933405,2.4267789,2.53690164,1381826.0,1.381826,33.224568,1.017615,5.471112,3.296542
2000-03-21,sh.600266,2.5491375,2.62663128,2.52058716,2.5899237,1454945.0,1.454945,33.918972,1.038884,5.58546,3.365441
2000-03-22,sh.600266,2.5491375,2.68781058,2.5491375,2.65518162,3177188.0,3.177188,34.773623,1.065061,5.726196,3.45024
2000-03-23,sh.600266,2.66129955,2.74695057,2.61439542,2.7122823,3345640.0,3.34564,35.521443,1.087965,5.84934,3.524438
2000-03-24,sh.600266,2.7326754,2.75918643,2.6714961,2.71432161,3641810.0,3.64181,35.548151,1.088783,5.853738,3.527088
2000-03-27,sh.600266,2.72247885,2.83056228,2.72247885,2.78365815,2896590.0,2.89659,36.456218,1.116596,6.00327,3.617187
2000-03-28,sh.600266,2.82444435,2.82444435,2.70208575,2.72247885,1689089.0,1.689089,35.654983,1.092055,5.87133,3.537688
2000-03-29,sh.600266,2.7326754,2.7530685,2.65518162,2.6714961,1555700.0,1.5557,34.987286,1.071605,5.76138,3.471439
2000-03-30,sh.600266,2.6918892,2.72859678,2.66741748,2.69800713,1349590.0,1.34959,35.334488,1.082239,5.818554,3.505889
2000-03-31,sh.600266,2.69800713,2.7938547,2.68781058,2.74287195,2823644.0,2.823644,35.922061,1.100235,5.91531,3.564188
2000-04-03,sh.600266,2.7326754,2.7734616,2.7122823,2.73063609,1215400.0,1.2154,35.761814,1.095327,5.888922,3.548288
2000-04-04,sh.600266,2.6918892,2.7530685,2.65518162,2.69392851,1448404.0,1.448404,35.281073,1.080603,5.809758,3.500589
2000-04-05,sh.600266,2.6918892,2.81220849,2.68781058,2.76734367,2004263.0,2.004263,36.242555,1.110052,5.968086,3.595987
2000-04-06,sh.600266,2.8142478,2.8346409,2.7530685,2.82036573,2823624.0,2.823624,31.698099,0.941528,-38.948854,3.554497
2000-04-07,sh.600266,2.83668021,2.9773926,2.8346409,2.84483745,4472897.0,4.472897,31.973136,0.949698,-39.286805,3.585338
2000-04-10,sh.600266,2.85095538,2.8754271,2.81016918,2.8346409,1870391.0,1.870391,31.858537,0.946294,-39.145992,3.572488
2000-04-11,sh.600266,2.8346409,2.84483745,2.76122574,2.76326505,1319600.0,1.3196,31.056344,0.922466,-38.160301,3.482533
2000-04-12,sh.600266,2.7530685,2.76122574,2.651103,2.74898988,3436747.0,3.436747,30.895905,0.917701,-37.963163,3.464542
2000-04-13,sh.600266,2.74491126,2.81628711,2.73879333,2.78365815,1838584.0,1.838584,31.285542,0.929274,-38.441927,3.508234
2000-04-14,sh.600266,2.81016918,2.8142478,2.70208575,2.73063609,1450730.0,1.45073,30.689627,0.911574,-37.7097,3.441411
2000-04-17,sh.600266,2.72859678,2.73063609,2.64090645,2.66537817,2078470.0,2.07847,29.956193,0.889789,-36.808497,3.359166
2000-04-18,sh.600266,2.72859678,2.72859678,2.66129955,2.72451816,799097.0,0.799097,30.620867,0.909531,-37.625212,3.4337
2000-04-19,sh.600266,2.73471471,2.82648366,2.7326754,2.77754022,2134709.0,2.134709,31.216783,0.927232,-38.357439,3.500524
2000-04-20,sh.600266,2.77957953,2.81016918,2.74898988,2.78569746,1270809.0,1.270809,31.308462,0.929955,-38.47009,3.510804
2000-04-21,sh.600266,2.7938547,2.80201194,2.7326754,2.74898988,1372860.0,1.37286,30.895905,0.917701,-37.963163,3.464542
2000-04-24,sh.600266,2.74287195,2.74898988,2.7122823,2.73675402,908371.0,0.908371,30.758386,0.913616,-37.794188,3.449121
2000-04-25,sh.600266,2.7530685,2.81220849,2.72247885,2.78977608,1492531.0,1.492531,31.354301,0.931317,-38.526415,3.515945
2000-04-26,sh.600266,2.78977608,2.90805606,2.78977608,2.8754271,4633742.0,4.633742,32.316934,0.95991,-39.709243,3.62389
2000-04-27,sh.600266,2.88562365,2.91213468,2.7938547,2.80405125,1724333.0,1.724333,31.51474,0.936082,-38.723553,3.533936
2000-04-28,sh.600266,2.80405125,2.8754271,2.76326505,2.84483745,2344030.0,2.34403,31.973136,0.949698,-39.286805,3.585338
2000-05-08,sh.600266,2.85095538,2.97331398,2.84891607,2.9162133,3125168.0,3.125168,32.77533,0.973525,-40.272495,3.675293
2000-05-09,sh.600266,2.9162133,2.9366064,2.82648366,2.82852297,1211941.0,1.211941,31.789778,0.944252,-39.061504,3.564777
2000-05-10,sh.600266,2.82852297,2.83056228,2.74695057,2.74695057,1362865.0,1.362865,30.872985,0.91702,-37.935001,3.461972
2000-05-11,sh.600266,2.7326754,2.78365815,2.66741748,2.70208575,951000.0,0.951,30.36875,0.902043,-37.315424,3.405429
2000-05-12,sh.600266,2.70208575,2.77754022,2.70208575,2.75918643,1341769.0,1.341769,31.010504,0.921105,-38.103976,3.477393
2000-05-15,sh.600266,2.82648366,2.82648366,2.76938298,2.80405125,1189416.0,1.189416,31.51474,0.936082,-38.723553,3.533936
2000-05-16,sh.600266,2.85095538,2.87134848,2.78569746,2.80405125,909600.0,0.9096,31.51474,0.936082,-38.723553,3.533936
2000-05-17,sh.600266,2.8142478,2.8346409,2.76122574,2.7734616,834150.0,0.83415,31.170943,0.92587,-38.301114,3.495384
2000-05-18,sh.600266,2.7734616,2.88358434,2.75510781,2.87950572,1981980.0,1.98198,32.362773,0.961271,-39.765569,3.629031
2000-05-19,sh.600266,2.89785951,3.16704843,2.88970227,3.09159396,17793460.0,17.79346,34.746433,1.032073,-42.694477,3.896325
2000-05-22,sh.600266,3.12218361,3.25473876,3.03449328,3.20579532,12794099.0,12.794099,36.029943,1.070197,-44.271582,4.040252
2000-05-23,sh.600266,3.2221098,3.25881738,3.12218361,3.25881738,6593582.0,6.593582,36.625858,1.087898,-45.003809,4.107076
