date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ
2003-08-14,sh.600489,0.74625411,0.8835956,0.73472895,0.84709926,66385234.0,66.385234,67.819673,2.812433,38.795097,7.148356
2003-08-15,sh.600489,0.81444464,0.86822872,0.81156335,0.84805969,38924520.0,38.92452,67.896566,2.815622,38.839082,7.156461
2003-08-18,sh.600489,0.84902012,0.88167474,0.8355741,0.86054528,19065660.0,19.06566,68.896176,2.857075,39.410892,7.261822
2003-08-19,sh.600489,0.8547827,0.87879345,0.84613883,0.84902012,13065785.0,13.065785,67.97346,2.81881,38.883067,7.164565
2003-08-20,sh.600489,0.84805969,0.87303087,0.84037625,0.86822872,16940265.0,16.940265,69.511321,2.882584,39.762775,7.32666
2003-08-21,sh.600489,0.86726829,0.89127904,0.86054528,0.88551646,14040146.0,14.040146,70.895396,2.939981,40.554511,7.472544
2003-08-22,sh.600489,0.88839775,0.91144807,0.87975388,0.89704162,14437163.0,14.437163,71.818112,2.978245,41.082336,7.569801
2003-08-25,sh.600489,0.89127904,0.89704162,0.86054528,0.86534743,14653411.0,14.653411,69.280641,2.873018,39.630819,7.302345
2003-08-26,sh.600489,0.864387,0.88935818,0.84998055,0.88263517,11722427.0,11.722427,70.664716,2.930415,40.422555,7.44823
2003-08-27,sh.600489,0.88167474,0.8835956,0.85286184,0.85574313,10061547.0,10.061547,68.511711,2.841131,39.190965,7.221298
2003-08-28,sh.600489,0.85286184,0.87207044,0.81828636,0.82500937,13724728.0,13.724728,66.051133,2.739093,37.783433,6.961948
2003-08-29,sh.600489,0.8163655,0.84325754,0.7971569,0.83653453,6342687.0,6.342687,63.764323,1.665029,38.311257,6.875256
2003-09-01,sh.600489,0.83653453,0.92009194,0.8355741,0.92009194,29116997.0,29.116997,70.133435,1.831341,42.137985,7.561992
2003-09-02,sh.600489,0.92009194,0.95850914,0.9028042,0.92105237,44711549.0,44.711549,70.206643,1.833253,42.18197,7.569885
2003-09-03,sh.600489,0.91721065,0.92105237,0.89416033,0.90664592,12749643.0,12.749643,69.10852,1.804578,41.522189,7.451482
2003-09-04,sh.600489,0.90664592,0.93353796,0.89992291,0.91048764,11392191.0,11.392191,69.401353,1.812225,41.698131,7.483057
2003-09-05,sh.600489,0.91048764,0.93065667,0.8931999,0.89512076,10352041.0,10.352041,68.230022,1.781639,40.994365,7.35676
2003-09-08,sh.600489,0.8931999,0.90952721,0.88551646,0.89416033,4924948.0,4.924948,68.156814,1.779727,40.95038,7.348867
2003-09-09,sh.600489,0.89416033,0.89800205,0.85286184,0.86630786,8766659.0,8.766659,66.033777,1.72429,39.674804,7.119955
2003-09-10,sh.600489,0.86630786,0.89992291,0.86630786,0.87783302,7040227.0,7.040227,66.912275,1.747229,40.202628,7.214677
2003-09-11,sh.600489,0.87783302,0.88647689,0.86054528,0.86726829,3691214.0,3.691214,66.106985,1.726201,39.718789,7.127848
2003-09-12,sh.600489,0.86534743,0.86534743,0.84037625,0.84998055,4884063.0,4.884063,64.789238,1.691792,38.927053,6.985765
2003-09-15,sh.600489,0.84325754,0.85862442,0.82981152,0.8355741,3097923.0,3.097923,63.691115,1.663117,38.267272,6.867362
2003-09-16,sh.600489,0.83461367,0.85862442,0.83365324,0.85862442,3751487.0,3.751487,65.448111,1.708997,39.322921,7.056806
2003-09-17,sh.600489,0.85862442,0.85862442,0.82212808,0.82693023,3590144.0,3.590144,63.032242,1.645913,37.871404,6.79632
2003-09-18,sh.600489,0.8259698,0.83365324,0.81732593,0.82212808,2369107.0,2.369107,62.666201,1.636355,37.651477,6.756853
2003-09-19,sh.600489,0.82212808,0.83269281,0.7971569,0.82116765,4443502.0,4.443502,62.592993,1.634443,37.607492,6.748959
2003-09-22,sh.600489,0.82020722,0.83941582,0.81252378,0.83173238,3455766.0,3.455766,63.398283,1.655471,38.091331,6.835788
2003-09-23,sh.600489,0.83269281,0.8451784,0.83077195,0.84421797,3150928.0,3.150928,64.349989,1.680322,38.66314,6.938404
2003-09-24,sh.600489,0.8451784,0.84998055,0.83461367,0.83941582,2311663.0,2.311663,63.983948,1.670764,38.443214,6.898936
2003-09-25,sh.600489,0.84133668,0.84229711,0.8163655,0.81732593,2049061.0,2.049061,62.30016,1.626797,37.43155,6.717385
2003-09-26,sh.600489,0.82116765,0.89031861,0.81828636,0.84805969,11586916.0,11.586916,64.642822,1.687969,38.839082,6.969978
2003-09-30,sh.600489,0.83077195,0.84325754,0.78851303,0.82404894,6940315.0,6.940315,62.812617,1.640178,37.739448,6.77264
2003-10-08,sh.600489,0.8163655,0.8355741,0.7971569,0.82020722,3013756.0,3.013756,62.519784,1.632531,37.563506,6.741066
2003-10-09,sh.600489,0.82020722,0.8259698,0.80484034,0.8067612,1656568.0,1.656568,61.49487,1.605769,36.947711,6.630556
2003-10-10,sh.600489,0.8067612,0.8547827,0.79907776,0.84133668,6358298.0,6.358298,64.130364,1.674587,38.531184,6.914723
2003-10-13,sh.600489,0.84037625,0.86630786,0.8355741,0.84037625,4939126.0,4.939126,64.057156,1.672676,38.487199,6.90683
2003-10-14,sh.600489,0.8355741,0.85190141,0.82981152,0.83653453,2112804.0,2.112804,63.764323,1.665029,38.311257,6.875256
2003-10-15,sh.600489,0.83653453,0.86342657,0.83173238,0.84325754,4411963.0,4.411963,64.276781,1.678411,38.619155,6.93051
