code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.688235,2024-08-30,2024-06-30,-0.116537,-0.239854,0.844248,-2877389000.000000,-3.180096,11996406000.000000,1375532739.00,115055260.00
sh.688235,2024-11-13,2024-09-30,-0.149635,-0.192659,0.839389,-3686694000.000000,-4.726079,,1380520163.00,115055260.00
sh.688235,2025-04-29,2024-12-31,-0.202047,-0.182931,0.844414,-4978287000.000000,-3.594845,27213955000.000000,1384840687.00,115055260.00
sh.688235,2025-05-14,2025-03-31,-0.003827,-0.011743,0.858623,-94503000.000000,-2.259956,,1400352274.00,115055260.00
sh.688235,2025-08-30,2025-06-30,0.017628,0.025675,0.867730,449784000.000000,-1.072250,17518269000.000000,1539858562.00,115055260.00
sh.688235,2025-11-13,2025-09-30,0.042556,0.041261,0.865140,1138596000.000000,-0.099305,,1540677809.00,115055260.00
sh.688248,2024-04-30,2024-03-31,0.014886,0.084276,0.321460,42588053.190000,0.518625,,564700000.00,228400000.00
sh.688248,2024-08-30,2024-06-30,0.064930,0.120087,0.289248,186790440.060000,0.619724,1554116632.640000,564700000.00,228400000.00
sh.688248,2024-10-30,2024-09-30,0.096813,0.134507,0.311289,283749280.230000,0.710254,,564700000.00,228400000.00
sh.688248,2025-03-29,2024-12-31,0.126167,0.122960,0.308284,370544340.430000,0.646443,3010995950.920000,564700000.00,228400000.00
sh.688248,2025-04-26,2025-03-31,0.018872,0.114598,0.325106,58414366.900000,0.672943,,564700000.00,228400000.00
sh.688248,2025-08-30,2025-06-30,0.057468,0.126338,0.320874,177523005.320000,0.628883,1404446807.970000,564700000.00,228400000.00
sh.688248,2025-10-31,2025-09-30,0.092680,0.138983,0.339250,291699704.200000,0.658917,,564700000.00,228400000.00
sh.688266,2024-04-20,2024-03-31,-0.024484,-0.412315,0.933953,-44630785.900000,-0.985442,,264708186.00,264708186.00
sh.688266,2024-08-24,2024-06-30,-0.041586,-0.322097,0.927311,-77527664.350000,-0.872244,240696731.580000,264708186.00,264708186.00
sh.688266,2024-10-26,2024-09-30,-0.066686,-0.285451,0.929645,-109646565.010000,-0.658825,,264708186.00,264708186.00
sh.688266,2025-04-19,2024-12-31,-0.095493,-0.282010,0.930592,-150298322.910000,-0.520690,531529198.980000,264708186.00,264708186.00
sh.688266,2025-04-19,2025-03-31,-0.022793,-0.174857,0.883873,-29313362.270000,-0.478238,,264708186.00,264708186.00
sh.688266,2025-08-23,2025-06-30,-0.059909,-0.201171,0.896657,-75569945.500000,-0.544366,375650273.550000,264708186.00,264708186.00
sh.688266,2025-10-31,2025-09-30,-0.077754,-0.161089,0.904041,-95596820.940000,-0.503740,,264708186.00,264708186.00
sh.688278,2024-04-23,2024-03-31,0.066368,0.236213,0.930744,128807591.330000,1.475132,,406800000.00,406800000.00
sh.688278,2024-08-22,2024-06-30,0.156460,0.255791,0.933628,304341868.430000,1.616550,,406800000.00,406800000.00
sh.688278,2024-10-25,2024-09-30,0.267644,0.283496,0.933529,554149217.810000,1.820777,,406800000.00,406800000.00
sh.688278,2025-03-28,2024-12-31,0.373659,0.293772,0.934860,827602233.890000,2.034420,2809412829.880000,406800000.00,406800000.00
sh.688278,2025-04-23,2025-03-31,0.068694,0.270484,0.931737,182128916.890000,2.165495,,406800000.00,406800000.00
sh.688278,2025-08-21,2025-06-30,0.161205,0.283258,0.929809,427894111.210000,2.338138,,406800000.00,406800000.00
sh.688278,2025-10-23,2025-09-30,0.239502,0.268647,0.925579,666123781.870000,2.309677,,406800000.00,406800000.00
